Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Treze - Paysandu 0:1,Brazil. Serie C,24/10/2020,"CF, LW, RW",94,67,23,0,0,0,0,0,23,13,1,0,2,0,2,1,30,9,7,3,4,18,7,4,1,0,0
Paysandu - Vila Nova 0:0,Brazil. Serie C,18/10/2020,RW,71,40,26,0,0,1,0,0.03,19,15,1,1,0,0,5,4,16,9,1,1,1,5,1,2,1,0,0
Santa Cruz - Paysandu 2:1,Brazil. Serie C,11/10/2020,RW,77,43,22,0,0,1,0,0.18,15,10,1,0,0,0,0,0,20,10,5,2,2,9,5,4,2,0,0
Paysandu - Remo 2:3,Brazil. Serie C,4/10/2020,RAMF,66,44,20,0,0,2,1,0.12,13,11,0,0,0,0,3,2,18,7,6,1,4,10,2,1,1,55,0
Botafogo PB - Paysandu 1:1,Brazil. Serie C,27/9/2020,CF,96,69,37,0,0,1,0,0.02,23,20,2,2,0,0,0,0,31,16,13,8,2,15,4,6,4,0,0
Ferroviário - Paysandu 0:2,Brazil. Serie C,21/9/2020,"AMF, RAMF",78,50,32,0,0,1,0,0.01,25,17,1,0,2,1,6,5,21,15,0,0,0,7,3,5,2,0,0
Paysandu - Imperatriz 6:1,Brazil. Serie C,13/9/2020,"CF, RAMF",93,53,25,1,0,3,1,0.8,22,17,4,2,2,1,0,0,19,7,2,1,2,10,4,1,0,0,0
Paysandu - Jacuipense 1:2,Brazil. Serie C,10/9/2020,RAMF,33,20,14,1,0,2,2,0.61,11,9,0,0,0,0,1,1,3,3,0,0,1,1,0,1,1,0,0
Remo - Paysandu 0:1,Brazil. Paraense,6/9/2020,"RAMF, RW",51,21,12,0,0,0,0,0,13,9,3,2,0,0,0,0,6,3,1,0,1,7,2,1,0,46,0
Paysandu - Remo 2:1,Brazil. Paraense,3/9/2020,RAMF,24,19,13,1,0,2,2,0.33,10,7,1,1,2,0,1,0,6,4,2,1,0,6,3,0,0,0,0
Manaus - Paysandu 2:1,Brazil. Serie C,30/8/2020,RAMF,39,16,6,0,0,0,0,0,5,2,0,0,0,0,0,0,10,4,6,3,1,10,1,2,2,0,0
Paysandu - Treze 1:0,Brazil. Serie C,23/8/2020,RW,26,16,11,0,0,3,1,0.23,8,6,1,0,0,0,1,1,4,3,0,0,0,2,2,2,2,0,0
Paysandu - Paragominas 2:0,Brazil. Paraense,20/8/2020,RAMF,40,33,14,1,0,2,1,0.18,15,10,0,0,0,0,2,0,11,3,2,1,3,5,1,4,0,0,0
Vila Nova - Paysandu 2:0,Brazil. Serie C,15/8/2020,LW,39,20,9,0,0,0,0,0,11,7,1,0,1,0,2,0,5,2,0,0,1,2,0,1,1,0,0
Paragominas - Paysandu 3:2,Brazil. Paraense,13/8/2020,"CF, RW",84,49,23,0,0,2,0,0.25,20,15,0,0,0,0,3,2,23,8,4,0,2,12,1,3,2,0,0
Itupiranga - Paysandu 1:4,Brazil. Paraense,5/8/2020,CF,34,33,16,0,0,4,2,0.44,7,6,0,0,0,0,0,0,16,8,6,4,0,4,0,2,2,0,0
Paysandu - Castanhal 1:0,Brazil. Paraense,15/3/2020,LW,37,30,9,0,0,0,0,0,6,3,2,1,0,0,1,0,17,6,2,1,0,4,1,0,0,92,0
Paysandu - Remo 1:1,Brazil. Paraense,8/3/2020,RAMF,77,52,26,0,0,0,0,0,23,16,1,1,2,1,1,1,22,10,3,2,2,11,5,6,3,0,0
Bragantino PA - Paysandu 0:2,Brazil. Paraense,29/2/2020,RW,46,32,13,0,0,0,0,0,17,10,2,0,1,0,0,0,11,3,2,0,5,10,3,2,0,0,0
Paysandu - CRB 1:1 (P),Brazil. Copa do Brasil,19/2/2020,RAMF,73,47,25,0,1,2,0,0.21,19,15,3,2,1,1,6,3,22,9,8,2,2,15,6,5,2,0,0
Paysandu - Paragominas 5:0,Brazil. Paraense,16/2/2020,RAMF,74,47,30,1,0,3,1,0.81,23,20,1,1,1,0,2,0,18,9,5,3,1,8,4,3,2,0,0
Remo - Paysandu 1:2,Brazil. Paraense,9/2/2020,RAMF,72,47,30,1,1,2,2,0.8,21,18,0,0,0,0,0,0,23,10,8,3,1,13,6,3,1,0,0
