Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Malut United FC - Persija 0:1,Indonesia. Liga 1 24/25,28/12/2024,"LWF, RWF",101,53,20,0,0,1,1,0.08,16,10,0,0,0,0,3,2,29,8,9,2,1,23,4,1,1,60,0
Persija - PSS Sleman 3:1,Indonesia. Liga 1 24/25,21/12/2024,"CF, RWF",113,65,27,3,0,8,4,2.17,16,11,0,0,0,0,9,3,34,12,3,1,1,12,0,1,1,0,0
Bali United - Persija 3:1,Indonesia. Liga 1 24/25,15/12/2024,CF,110,46,20,1,0,2,1,0.36,16,13,1,0,0,0,3,1,23,6,6,0,1,12,4,2,2,77,0
Persija - Borneo FC 1:1,Indonesia. Liga 1 24/25,10/12/2024,"CF, RW, RWF",101,56,19,1,0,2,1,0.58,12,9,1,1,0,0,1,1,32,9,7,3,4,16,8,2,0,0,0
Semen Padang - Persija 0:1,Indonesia. Liga 1 24/25,6/12/2024,CF,98,48,16,0,0,4,1,0.15,15,8,0,0,1,0,4,2,26,7,6,2,2,11,1,7,5,0,0
Persija - Persik Kediri 2:0,Indonesia. Liga 1 24/25,1/12/2024,RWF,84,39,16,1,0,2,1,0.98,16,7,0,0,0,0,3,1,21,9,8,3,1,16,3,1,1,44,0
Persebaya Surabaya - Persija 2:1,Indonesia. Liga 1 24/25,22/11/2024,CF,103,55,21,1,0,4,1,1.22,22,13,3,1,1,0,4,2,25,6,6,1,1,12,2,5,5,0,0
Persija - Madura United 4:1,Indonesia. Liga 1 24/25,6/11/2024,CF,107,53,24,1,0,3,2,0.4,20,13,1,1,1,0,5,1,19,8,6,3,1,13,4,1,1,96,0
PSIS Semarang - Persija 0:2,Indonesia. Liga 1 24/25,17/10/2024,RWF,30,15,9,0,0,1,0,0.07,7,6,0,0,0,0,1,1,6,3,0,0,0,3,0,0,0,0,0
Persija - PSM 1:1,Indonesia. Liga 1 24/25,29/9/2024,CF,102,46,15,0,0,3,1,0.41,15,8,0,0,0,0,3,2,21,6,2,0,3,12,2,5,3,0,0
Persib - Persija 2:0,Indonesia. Liga 1 24/25,23/9/2024,"CF, LW",100,43,19,0,0,2,0,0.01,16,12,1,1,2,0,2,1,22,7,4,0,0,8,1,2,1,0,0
Persija - Dewa United 0:0,Indonesia. Liga 1 24/25,16/9/2024,CF,78,28,12,0,0,2,0,0.15,6,5,0,0,0,0,4,2,16,7,1,1,0,9,2,1,0,19,0
PSBS Biak Numfor - Persija 3:1,Indonesia. Liga 1 24/25,12/9/2024,"CF, LWF",100,54,22,0,0,2,1,0.19,25,16,1,0,0,0,2,0,21,5,5,2,1,13,2,3,1,0,0
Persija - Persis Solo 2:1,Indonesia. Liga 1 24/25,24/8/2024,CF,106,37,12,0,0,3,2,0.98,15,7,1,0,1,0,2,1,15,3,7,1,1,17,2,1,1,0,0
Persita - Persija 0:0,Indonesia. Liga 1 24/25,18/8/2024,CF,87,47,22,0,0,1,0,0.01,19,14,0,0,1,0,5,4,21,8,6,2,1,7,0,3,3,0,0
Persija - Barito Putera 3:0,Indonesia. Liga 1 24/25,10/8/2024,CF,88,54,30,3,0,5,3,1.46,24,20,3,1,0,0,1,1,19,7,7,4,4,14,3,2,1,0,0
Borneo FC - Persija 2:1,Indonesia. Piala Presiden,30/7/2024,CF,107,47,13,0,0,2,0,0.23,12,7,1,1,1,0,4,2,25,5,6,2,4,11,2,2,1,0,0
Bali United - Persija 3:0,Indonesia. Piala Presiden,26/7/2024,CF,56,22,12,0,0,4,3,0.88,5,5,1,1,0,0,4,0,10,4,1,1,2,5,0,2,2,0,0
Persija - Arema 2:2,Indonesia. Piala Presiden,24/7/2024,CF,44,27,16,1,0,2,1,0.49,14,10,1,1,1,0,6,5,11,5,2,0,0,4,1,1,1,0,0
Madura United - Persija 1:2,Indonesia. Piala Presiden,21/7/2024,CF,51,43,19,1,0,3,1,0.44,15,11,1,0,0,0,2,0,21,7,6,3,1,13,2,3,3,55,0
Rans Nusantara - Persija 0:1,Indonesia. Liga 1 23/24,26/4/2024,CF,75,62,32,1,0,3,2,0.78,18,11,1,1,1,0,7,5,36,19,5,4,0,10,2,2,1,60,73
Barito Putera - Persija 2:2,Indonesia. Liga 1 23/24,21/4/2024,AMF,98,70,36,0,1,3,0,0.17,29,20,0,0,1,0,7,3,32,15,9,5,3,17,5,5,2,0,0
Persija - Persis Solo 1:0,Indonesia. Liga 1 23/24,17/4/2024,"LCMF3, CF",98,53,30,0,0,2,1,0.15,23,18,2,1,5,2,7,2,25,11,4,2,0,8,0,1,1,0,0
Bali United - Persija 1:0,Indonesia. Liga 1 23/24,30/3/2024,RW,56,27,18,0,0,1,1,0.76,9,8,0,0,2,1,8,4,14,8,2,2,1,6,0,1,0,0,0
Persija - Madura United 0:1,Indonesia. Liga 1 23/24,22/2/2024,CF,98,47,16,0,0,1,0,0.36,11,7,1,0,1,1,3,0,26,9,8,2,0,11,3,0,0,66,0
Borneo FC - Persija 3:1,Indonesia. Liga 1 23/24,6/2/2024,CF,100,55,19,1,0,5,2,0.65,12,7,0,0,2,0,7,5,29,10,0,0,1,12,2,4,3,80,0
Bhayangkara F.C. - Persija 2:2,Indonesia. Liga 1 23/24,27/11/2023,CF,35,19,6,0,0,1,0,0.03,4,2,0,0,0,0,1,0,13,4,0,0,0,6,0,0,0,0,0
Persib - Arema 2:2,Indonesia. Liga 1 23/24,8/11/2023,CF,97,59,32,1,0,1,1,0.15,21,18,1,1,0,0,3,3,34,13,1,0,0,7,2,0,0,0,0
Arema - Dewa United 2:1,Indonesia. Liga 1 23/24,2/11/2023,CF,99,51,31,1,0,3,3,0.84,21,18,1,1,0,0,6,5,19,10,1,0,2,9,1,0,0,0,0
Arema - Madura United 1:1,Indonesia. Liga 1 23/24,28/10/2023,CF,98,56,25,1,0,3,1,0.95,18,15,0,0,2,0,6,3,28,9,4,0,3,15,1,0,0,0,0
