Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Viettel - FLC Thanh Hoa 1:2,Vietnam. V.League 1,15/11/2024,CF,99,56,31,0,0,0,0,0,18,15,1,1,0,0,5,1,36,16,15,11,0,14,4,4,2,50,0
Song Lam Nghe An - FLC Thanh Hoa 0:1,Vietnam. V.League 1,10/11/2024,CF,102,65,35,0,0,2,2,0.4,19,15,0,0,1,0,4,3,37,18,14,9,1,15,2,1,1,93,0
FLC Thanh Hoa - Ha Noi 1:1,Vietnam. V.League 1,3/11/2024,CF,87,49,17,1,0,2,1,0.49,12,10,0,0,0,0,0,0,32,6,10,1,2,20,3,0,0,0,0
Hoang Anh Gia Lai - FLC Thanh Hoa 1:1,Vietnam. V.League 1,26/10/2024,"CF, LAMF",102,41,17,0,0,5,2,1.3,11,6,1,0,0,0,0,0,21,9,7,5,3,14,3,4,2,0,0
Botafogo PB - Remo 3:0,Brazil. Serie C,5/10/2024,CF,19,8,2,0,0,2,0,0.57,0,0,0,0,0,0,1,0,5,2,3,2,0,1,0,1,1,0,0
Remo - São Bernardo FC 1:0,Brazil. Serie C,29/9/2024,CF,28,18,7,0,0,0,0,0,5,4,1,0,0,0,0,0,12,3,3,0,0,3,1,0,0,0,0
Volta Redonda - Remo 1:1,Brazil. Serie C,21/9/2024,AMF,22,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0,1,0,0,0,0,0
Remo - Volta Redonda 0:0,Brazil. Serie C,15/9/2024,CF,15,5,2,0,0,0,0,0,3,1,0,0,0,0,1,0,2,1,0,0,1,3,0,0,0,0,0
São Bernardo FC - Remo 2:2,Brazil. Serie C,10/9/2024,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Remo - Botafogo PB 2:1,Brazil. Serie C,31/8/2024,CF,25,10,5,0,0,1,1,0.23,4,2,0,0,0,0,0,0,5,2,3,1,0,5,0,1,1,0,0
EC São José - Remo 0:0,Brazil. Serie C,24/8/2024,CF,30,13,1,0,0,1,0,0.06,2,1,0,0,0,0,1,0,7,0,3,0,0,5,2,0,0,0,0
Remo - Londrina 3:0,Brazil. Serie C,18/8/2024,CF,30,12,3,0,0,0,0,0,2,2,0,0,0,0,0,0,9,1,3,0,0,5,0,0,0,0,0
Remo - Aparecidense 1:0,Brazil. Serie C,6/8/2024,CF,100,25,7,0,0,0,0,0,3,2,0,0,0,0,0,0,15,5,6,2,0,6,1,0,0,61,0
Figueirense - Remo 1:0,Brazil. Serie C,27/7/2024,CF,39,11,4,0,0,0,0,0,6,4,0,0,0,0,0,0,1,0,0,0,1,3,1,2,2,0,0
Remo - CSA 2:1,Brazil. Serie C,23/7/2024,CF,37,10,7,1,0,2,2,0.95,5,4,0,0,0,0,0,0,2,1,1,0,0,2,1,1,1,0,0
