Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Bhayangkara F.C. - Persib 2:2,Indonesia. Liga 1 22/23,24/7/2022,RCB,95,38,24,0,0,0,0,0,22,15,7,2,0,0,0,0,12,9,5,3,4,5,2,9,0,0,0
Bhayangkara F.C. - Persib 0:1,Indonesia. Piala Presiden,21/6/2022,LCB,33,14,10,0,0,0,0,0,7,6,1,1,0,0,0,0,4,3,2,2,7,0,0,5,0,0,0
Persebaya Surabaya - Persib 1:3,Indonesia. Piala Presiden,17/6/2022,RCB,99,46,31,1,0,1,1,0.33,23,20,4,2,0,0,0,0,14,9,4,2,5,6,5,8,0,0,0
Persib - Bali United 1:1,Indonesia. Piala Presiden,12/6/2022,RCB,112,62,42,0,0,1,0,0.12,38,35,9,6,0,0,0,0,14,6,3,2,4,8,2,10,1,0,0
Barito Putera - Persib 1:1,Indonesia. Liga 1 21/22,31/3/2022,RCB,96,49,40,0,0,0,0,0,39,35,4,2,0,0,0,0,6,4,2,2,6,4,3,12,0,0,0
Persib - Persik Kediri 0:0,Indonesia. Liga 1 21/22,25/3/2022,RCB,95,47,27,0,0,0,0,0,18,14,6,2,0,0,0,0,16,10,8,5,8,8,5,14,0,0,0
Persebaya Surabaya - Persib 1:1,Indonesia. Liga 1 21/22,19/3/2022,RCB,96,51,32,0,0,1,1,0.04,27,19,8,3,0,0,0,0,11,6,2,2,10,12,3,8,1,0,0
Persib - Madura United 3:2,Indonesia. Liga 1 21/22,13/3/2022,RCB,96,69,48,0,0,0,0,0,45,36,6,2,0,0,0,0,13,8,2,0,7,7,4,4,0,0,0
Arema - Persib 1:2,Indonesia. Liga 1 21/22,9/3/2022,RCB,95,58,34,0,0,0,0,0,26,22,4,3,0,0,1,0,21,10,11,5,4,9,6,9,2,33,0
Persib - Persiraja Banda Aceh 3:1,Indonesia. Liga 1 21/22,5/3/2022,RCB,96,58,44,0,0,0,0,0,34,32,2,0,0,0,1,1,14,9,1,1,4,2,0,13,2,0,0
Persija - Persib 0:2,Indonesia. Liga 1 21/22,1/3/2022,RCB,97,57,31,0,0,0,0,0,22,20,4,3,0,0,0,0,18,8,5,1,11,6,6,7,0,0,0
Persib - Persela 1:1,Indonesia. Liga 1 21/22,25/2/2022,RCB,95,77,55,0,0,0,0,0,43,33,9,3,1,0,1,1,26,20,3,2,9,14,7,15,5,0,0
PSM - Persib 0:2,Indonesia. Liga 1 21/22,22/2/2022,RCB,98,57,37,0,0,0,0,0,31,23,5,2,1,1,0,0,18,11,8,4,7,8,3,14,0,0,0
Persipura - Persib 0:3,Indonesia. Liga 1 21/22,18/2/2022,RCB,96,49,28,0,0,3,1,0.52,21,17,3,2,0,0,1,1,11,5,1,1,10,3,3,10,0,0,0
Persib - PSIS Semarang 0:0,Indonesia. Liga 1 21/22,15/2/2022,RCB,96,80,55,0,0,0,0,0,52,40,13,6,0,0,1,1,19,14,2,1,5,10,5,17,1,0,0
PSS Sleman - Persib 1:2,Indonesia. Liga 1 21/22,11/2/2022,RCB,50,37,24,0,0,0,0,0,24,19,2,0,0,0,0,0,9,5,3,1,3,6,3,7,2,0,0
Borneo FC - Persib 0:1,Indonesia. Liga 1 21/22,18/1/2022,RCB,95,67,49,0,0,0,0,0,46,41,11,6,0,0,0,0,13,8,1,1,4,5,2,9,2,0,0
Persib - Bali United 0:1,Indonesia. Liga 1 21/22,13/1/2022,RCB,95,48,30,0,0,0,0,0,26,20,7,2,0,0,0,0,17,9,7,4,3,8,4,7,1,0,0
Persib - Persita 1:0,Indonesia. Liga 1 21/22,7/1/2022,RCB,95,52,36,0,0,0,0,0,27,24,5,4,0,0,0,0,16,10,5,4,4,4,2,12,1,0,0
Persik Kediri - Persib 0:1,Indonesia. Liga 1 21/22,12/12/2021,RCB,97,48,28,0,0,0,0,0,26,15,10,2,0,0,0,0,17,11,5,4,11,12,3,16,0,0,0
Persib - Persebaya Surabaya 0:3,Indonesia. Liga 1 21/22,8/12/2021,RCB,96,77,55,0,0,0,0,0,44,35,12,6,1,0,2,1,22,15,7,5,3,15,3,21,3,0,0
Madura United - Persib 0:1,Indonesia. Liga 1 21/22,4/12/2021,RCB,98,52,29,0,0,0,0,0,22,16,13,7,0,0,0,0,17,9,4,0,4,3,2,7,1,0,0
Persiraja Banda Aceh - Persib 0:4 (E),Indonesia. Liga 1 21/22,24/11/2021,RCB,98,74,55,0,0,1,0,0.02,50,43,10,5,0,0,2,1,17,11,6,3,3,9,2,15,3,31,0
Persib - Persija 0:1,Indonesia. Liga 1 21/22,20/11/2021,RCB,97,42,28,0,0,1,0,0.13,20,19,4,4,1,1,1,0,14,7,3,1,7,1,1,11,1,0,0
Persela - Persib 1:3,Indonesia. Liga 1 21/22,4/11/2021,RCB,97,36,28,0,0,0,0,0,28,25,7,5,0,0,0,0,8,4,1,1,2,3,2,5,0,0,0
Persib - Persipura 3:0,Indonesia. Liga 1 21/22,30/10/2021,RCB,96,64,49,0,0,0,0,0,43,39,7,5,0,0,1,1,11,8,3,2,1,8,5,12,4,43,0
PSIS Semarang - Persib 0:1,Indonesia. Liga 1 21/22,26/10/2021,RCB,97,54,37,0,0,0,0,0,29,25,4,2,2,1,2,1,19,12,8,7,7,8,4,14,2,0,0
Persib - PSS Sleman 4:2,Indonesia. Liga 1 21/22,22/10/2021,RCB,96,89,67,0,0,1,0,0.02,66,57,9,3,0,0,1,1,15,10,3,3,3,5,1,9,2,0,0
Bhayangkara F.C. - Persib 0:2,Indonesia. Liga 1 21/22,16/10/2021,RCB,97,49,28,0,0,0,0,0,26,19,9,5,1,1,0,0,14,8,6,4,8,7,3,7,0,0,0
Persikabo 1973 - Persib 0:0,Indonesia. Liga 1 21/22,27/9/2021,RCB,94,58,38,0,0,0,0,0,30,27,1,1,1,1,1,1,14,10,4,3,7,6,3,7,0,65,0
Bali United - Persib 2:2,Indonesia. Liga 1 21/22,18/9/2021,RCB,32,21,16,0,0,0,0,0,15,14,2,1,0,0,0,0,1,1,1,1,5,1,0,5,0,0,0
Persita - Persib 1:2,Indonesia. Liga 1 21/22,11/9/2021,RCB,55,58,46,0,0,0,0,0,43,41,7,5,0,0,0,0,7,3,1,0,4,4,1,5,0,32,0
Persib - Barito Putera 1:0,Indonesia. Liga 1 21/22,4/9/2021,RCB,96,50,35,0,0,1,0,0.04,35,32,7,5,0,0,0,0,8,3,4,2,6,6,3,5,0,0,0
Persija - Persib 2:0,Indonesia. Menpora Cup,22/4/2021,RCB,95,81,55,0,0,0,0,0,49,38,17,10,0,0,1,1,21,16,5,4,5,13,5,15,2,23,0
Persib - PSS Sleman 2:1,Indonesia. Menpora Cup,16/4/2021,RCB,97,72,53,0,0,0,0,0,47,40,8,2,0,0,0,0,16,10,9,7,4,6,1,11,1,0,0
Persib - Persebaya Surabaya 3:2,Indonesia. Menpora Cup,11/4/2021,RCB,96,75,55,1,0,1,1,0.07,50,40,16,11,0,0,2,1,16,12,3,3,7,8,5,8,2,0,0
Persib - Persiraja Banda Aceh 2:1,Indonesia. Menpora Cup,2/4/2021,RCB,97,61,40,0,0,0,0,0,30,26,9,5,0,0,0,0,21,12,7,4,2,3,1,10,0,0,0
Persib - PSS Sleman 2:1,Indonesia. Liga 1 19/20,15/3/2020,RCB,96,50,27,0,0,1,1,0.06,23,16,12,5,0,0,0,0,17,9,3,2,4,8,4,7,1,0,0
Arema - Persib 1:2,Indonesia. Liga 1 19/20,8/3/2020,RCB,98,37,17,0,0,0,0,0,14,8,9,4,0,0,0,0,14,7,4,1,8,5,3,12,2,0,0
Persib - Persela 3:0,Indonesia. Liga 1 19/20,1/3/2020,RCB,96,77,50,0,0,0,0,0,49,37,9,2,1,0,0,0,17,10,7,3,7,13,6,13,3,20,0
Persib - Badak Lampung 4:0,Indonesia. Liga 1 19/20,16/12/2019,RCB,96,70,50,1,0,1,1,0.04,54,42,17,7,0,0,0,0,11,7,5,4,1,7,0,9,0,70,0
Pusamania Borneo - Persib 0:1,Indonesia. Liga 1 19/20,11/12/2019,RCB,97,48,32,0,0,1,0,0.15,16,13,5,3,0,0,0,0,20,15,8,7,6,4,2,10,0,0,0
PSS Sleman - Persib 0:0,Indonesia. Liga 1 19/20,7/12/2019,LCB,94,26,15,0,0,0,0,0,13,10,4,2,0,0,0,0,8,4,3,2,4,6,3,8,0,0,0
Persib - Persela 0:2,Indonesia. Liga 1 19/20,3/12/2019,RCB,97,71,47,0,0,0,0,0,47,39,9,4,0,0,1,0,15,6,5,1,3,8,1,13,1,0,0
Bali United - Persib 3:2,Indonesia. Liga 1 19/20,28/11/2019,LCB,100,46,24,0,0,1,0,0.08,12,8,4,3,0,0,0,0,21,12,4,1,7,5,2,11,0,0,0
